X,45Hz,50Hz,55Hz,60Hz,Min,BEP,Max
0.0,1157.0057581573897,1442.0345489443378,1748.1765834932821,2085.9884836852207,-4.2226487523994365,-4.2226487523994365,-4.2226487523994365
2528.4776119402986,1148.5604606525912,1429.3666026871401,1733.3973128598848,2056.429942418426,228.02303262955843,42.22648752399209,21.113243761996273
5041.15223880597,1140.1151631477928,1404.0307101727449,1710.172744721689,2031.0940499040307,601.7274472168906,137.23608445297486,73.8963531669865
7522.220895522389,1119.0019193857966,1399.8080614203454,1689.0595009596927,2014.203454894434,1173.8963531669865,289.2514395393473,160.46065259117086
9987.48656716418,1097.8886756238003,1368.1381957773513,1665.8349328214972,1995.2015355086373,2149.328214971209,494.0499040307102,268.13819577735126
12531.767164179104,1040.8829174664108,1321.6890595009597,1638.3877159309022,1965.6429942418426,,772.7447216890594,399.0403071017274
15028.638805970148,958.5412667946257,1254.126679462572,1564.4913627639155,1914.971209213052,,1127.447216890595,551.0556621880996
17525.510447761193,833.9731285988482,1148.5604606525912,1477.9270633397314,1832.6295585412668,,1532.8214971209213,726.2955854126678
20006.579104477612,667.1785028790787,996.5451055662188,1344.9136276391555,1729.1746641074856,,2003.6468330134358,933.2053742802304
22519.253731343284,477.15930902111336,800.1919385796546,1157.0057581573897,1547.6007677543184,,,1190.7869481765833
24984.51940298507,323.0326295585412,593.2821497120922,939.5393474088291,1338.5796545105568,,,1454.7024952015354
26406.788059701492,266.02687140115177,485.6046065259118,808.637236084453,1205.566218809981,,,1629.9424184261038
