X,45Hz,50Hz,55Hz,60Hz,Min,BEP,Max
236,546,411,266,106,1096,1096,1096
396,550,417,273,120,986,1074,1084
555,554,429,284,132,809,1029,1059
712,564,431,294,140,538,957,1018
868,574,446,305,149,76,860,967
1029,601,468,318,163,,728,905
1187,640,500,353,187,,560,833
1345,699,550,394,226,,368,750
1502,778,622,457,275,,145,652
1661,868,715,546,361,,,530
1817,941,813,649,460,,,405
1907,968,864,711,523,,,322
